,id,textbook_link,course_id
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2169&subj=AVSC&sec=202&course=345&term=202502,AVSC345
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2170&subj=AVSC&sec=201&course=355&term=202502,AVSC355
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2171&subj=AVSC&sec=201&course=375&term=202502,AVSC375
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2172&subj=AVSC&sec=202&course=375&term=202502,AVSC375
0,201,https://mubert.marshall.edu/coursecosts.php?crn=5243&subj=AVSC&sec=201&course=420&term=202502,AVSC420
0,201,https://mubert.marshall.edu/coursecosts.php?crn=5485&subj=AVSC&sec=201&course=495&term=202502,AVSC495
0,202,https://mubert.marshall.edu/coursecosts.php?crn=5580&subj=AVSC&sec=202&course=495&term=202502,AVSC495
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2173&subj=BME&sec=201&course=201&term=202502,BME201
0,202,https://mubert.marshall.edu/coursecosts.php?crn=5218&subj=BME&sec=202&course=306&term=202502,BME306
0,201,N/A,BME310
0,201,N/A,BME460
0,202,https://mubert.marshall.edu/coursecosts.php?crn=5346&subj=BME&sec=202&course=466&term=202502,BME466
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2178&subj=BME&sec=201&course=480&term=202502,BME480
0,202,https://mubert.marshall.edu/coursecosts.php?crn=5687&subj=BME&sec=202&course=481&term=202502,BME481
0,201,N/A,BME482
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2194&subj=BSC&sec=201&course=104&term=202502,BSC104
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2195&subj=BSC&sec=202&course=104&term=202502,BSC104
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2197&subj=BSC&sec=201&course=104L&term=202502,BSC104L
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2198&subj=BSC&sec=202&course=104L&term=202502,BSC104L
0,203,https://mubert.marshall.edu/coursecosts.php?crn=2199&subj=BSC&sec=203&course=104L&term=202502,BSC104L
0,204,https://mubert.marshall.edu/coursecosts.php?crn=2200&subj=BSC&sec=204&course=104L&term=202502,BSC104L
0,207,https://mubert.marshall.edu/coursecosts.php?crn=2203&subj=BSC&sec=207&course=104L&term=202502,BSC104L
0,208,https://mubert.marshall.edu/coursecosts.php?crn=2204&subj=BSC&sec=208&course=104L&term=202502,BSC104L
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2205&subj=BSC&sec=201&course=105&term=202502,BSC105
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2206&subj=BSC&sec=202&course=105&term=202502,BSC105
0,203,https://mubert.marshall.edu/coursecosts.php?crn=2207&subj=BSC&sec=203&course=105&term=202502,BSC105
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2208&subj=BSC&sec=201&course=105L&term=202502,BSC105L
0,203,https://mubert.marshall.edu/coursecosts.php?crn=2210&subj=BSC&sec=203&course=105L&term=202502,BSC105L
0,204,https://mubert.marshall.edu/coursecosts.php?crn=2211&subj=BSC&sec=204&course=105L&term=202502,BSC105L
0,206,https://mubert.marshall.edu/coursecosts.php?crn=2213&subj=BSC&sec=206&course=105L&term=202502,BSC105L
0,207,https://mubert.marshall.edu/coursecosts.php?crn=2214&subj=BSC&sec=207&course=105L&term=202502,BSC105L
0,208,https://mubert.marshall.edu/coursecosts.php?crn=2215&subj=BSC&sec=208&course=105L&term=202502,BSC105L
0,209,https://mubert.marshall.edu/coursecosts.php?crn=2216&subj=BSC&sec=209&course=105L&term=202502,BSC105L
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2217&subj=BSC&sec=201&course=120&term=202502,BSC120
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2218&subj=BSC&sec=202&course=120&term=202502,BSC120
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2219&subj=BSC&sec=201&course=120L&term=202502,BSC120L
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2220&subj=BSC&sec=202&course=120L&term=202502,BSC120L
0,203,https://mubert.marshall.edu/coursecosts.php?crn=2221&subj=BSC&sec=203&course=120L&term=202502,BSC120L
0,204,https://mubert.marshall.edu/coursecosts.php?crn=2222&subj=BSC&sec=204&course=120L&term=202502,BSC120L
0,205,https://mubert.marshall.edu/coursecosts.php?crn=2223&subj=BSC&sec=205&course=120L&term=202502,BSC120L
0,207,https://mubert.marshall.edu/coursecosts.php?crn=2225&subj=BSC&sec=207&course=120L&term=202502,BSC120L
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2226&subj=BSC&sec=201&course=121&term=202502,BSC121
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2227&subj=BSC&sec=202&course=121&term=202502,BSC121
0,203,https://mubert.marshall.edu/coursecosts.php?crn=2228&subj=BSC&sec=203&course=121&term=202502,BSC121
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2229&subj=BSC&sec=201&course=121L&term=202502,BSC121L
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2230&subj=BSC&sec=202&course=121L&term=202502,BSC121L
0,203,https://mubert.marshall.edu/coursecosts.php?crn=2231&subj=BSC&sec=203&course=121L&term=202502,BSC121L
0,204,https://mubert.marshall.edu/coursecosts.php?crn=2232&subj=BSC&sec=204&course=121L&term=202502,BSC121L
0,205,https://mubert.marshall.edu/coursecosts.php?crn=2233&subj=BSC&sec=205&course=121L&term=202502,BSC121L
0,207,https://mubert.marshall.edu/coursecosts.php?crn=2235&subj=BSC&sec=207&course=121L&term=202502,BSC121L
0,208,https://mubert.marshall.edu/coursecosts.php?crn=2236&subj=BSC&sec=208&course=121L&term=202502,BSC121L
0,209,https://mubert.marshall.edu/coursecosts.php?crn=2237&subj=BSC&sec=209&course=121L&term=202502,BSC121L
0,210,https://mubert.marshall.edu/coursecosts.php?crn=2238&subj=BSC&sec=210&course=121L&term=202502,BSC121L
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2240&subj=BSC&sec=201&course=227&term=202502,BSC227
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2241&subj=BSC&sec=202&course=227&term=202502,BSC227
0,204,https://mubert.marshall.edu/coursecosts.php?crn=2243&subj=BSC&sec=204&course=227&term=202502,BSC227
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2244&subj=BSC&sec=201&course=227L&term=202502,BSC227L
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2245&subj=BSC&sec=202&course=227L&term=202502,BSC227L
0,204,https://mubert.marshall.edu/coursecosts.php?crn=2247&subj=BSC&sec=204&course=227L&term=202502,BSC227L
0,205,https://mubert.marshall.edu/coursecosts.php?crn=2248&subj=BSC&sec=205&course=227L&term=202502,BSC227L
0,206,https://mubert.marshall.edu/coursecosts.php?crn=2249&subj=BSC&sec=206&course=227L&term=202502,BSC227L
0,208,https://mubert.marshall.edu/coursecosts.php?crn=2251&subj=BSC&sec=208&course=227L&term=202502,BSC227L
0,210,https://mubert.marshall.edu/coursecosts.php?crn=2253&subj=BSC&sec=210&course=227L&term=202502,BSC227L
0,213,https://mubert.marshall.edu/coursecosts.php?crn=2256&subj=BSC&sec=213&course=227L&term=202502,BSC227L
0,214,https://mubert.marshall.edu/coursecosts.php?crn=2257&subj=BSC&sec=214&course=227L&term=202502,BSC227L
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2258&subj=BSC&sec=201&course=228&term=202502,BSC228
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2259&subj=BSC&sec=202&course=228&term=202502,BSC228
